C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-00-01,59 ST,NQR456W,BMT,04/09/2019,20:00:00,REGULAR,0006249839,0001401693                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,04/10/2019,00:00:00,REGULAR,0006250005,0001401723                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,04/10/2019,04:00:00,REGULAR,0006250013,0001401726                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,04/10/2019,08:00:00,REGULAR,0006250046,0001401772                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,04/10/2019,09:10:22,REGULAR,0006250103,0001401834                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,04/10/2019,11:11:09,REGULAR,0006250166,0001401887                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,04/10/2019,12:00:00,REGULAR,0006250184,0001401895                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,04/10/2019,16:00:00,REGULAR,0006250458,0001401935                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,04/10/2019,20:00:00,REGULAR,0006251080,0001401997                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,04/11/2019,00:00:00,REGULAR,0006251238,0001402012                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,04/11/2019,04:00:00,REGULAR,0006251253,0001402014                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,04/11/2019,08:00:00,REGULAR,0006251284,0001402055                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,04/11/2019,12:00:00,REGULAR,0006251415,0001402186                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,04/11/2019,16:00:00,REGULAR,0006251661,0001402231                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,04/11/2019,20:00:00,REGULAR,0006252284,0001402281                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,04/12/2019,00:00:00,REGULAR,0006252468,0001402297                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,04/12/2019,04:00:00,REGULAR,0006252478,0001402303                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,04/12/2019,08:00:00,REGULAR,0006252505,0001402341                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,04/12/2019,09:01:45,REGULAR,0006252555,0001402394                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,04/12/2019,12:00:00,REGULAR,0006252647,0001402468                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,04/12/2019,16:00:00,REGULAR,0006252942,0001402511                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,04/12/2019,20:00:00,REGULAR,0006253579,0001402545                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,04/06/2019,00:00:00,REGULAR,0001214491,0004565836                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,04/06/2019,04:00:00,REGULAR,0001214499,0004565860                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,04/06/2019,08:00:00,REGULAR,0001214504,0004565944                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,04/06/2019,12:00:00,REGULAR,0001214535,0004566274                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,04/06/2019,16:00:00,REGULAR,0001214643,0004566639                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,04/06/2019,20:00:00,REGULAR,0001214789,0004566965                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,04/07/2019,00:00:00,REGULAR,0001214864,0004567122                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,04/07/2019,04:00:00,REGULAR,0001214869,0004567137                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,04/07/2019,08:00:00,REGULAR,0001214870,0004567185                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,04/07/2019,12:00:00,REGULAR,0001214912,0004567413                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,04/07/2019,16:00:00,REGULAR,0001214980,0004567736                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,04/07/2019,20:00:00,REGULAR,0001215073,0004567999                                            
